governor_name,state,party,start_date,end_date
Donald Eugene Siegelman,Alabama,Democratic,18-Jan-99,20-Jan-03
Bob Riley,Alabama,Republican,20-Jan-03,17-Jan-11
Robert Bentley,Alabama,Republican,17-Jan-11,10-Apr-17
Kay Ivey,Alabama,Republican,10-Apr-17,
Tony Knowles,Alaska,Democratic,5-Dec-94,2-Dec-02
Frank H. Murkowski,Alaska,Republican,2-Dec-02,4-Dec-06
Sarah Palin,Alaska,Republican,4-Dec-06,26-Jul-09
Sean Parnell,Alaska,Republican,26-Jul-09,1-Dec-14
Bill Walker,Alaska,Independent,1-Dec-14,3-Dec-18
Mike Dunleavy,Alaska,Republican,3-Dec-18,
Tauese P. F. Sunia,American Samoa,Democratic,3-Jan-97,26-Mar-03
Togiola T. A. Tulafono,American Samoa,Democratic,26-Mar-03,3-Jan-13
Lolo Matalasi Moliga,American Samoa,Independent,3-Jan-13,3-Jan-21
Lemanu Peleti Mauga,American Samoa,Democratic,3-Jan-21,
Jane Dee Hull,Arizona,Republican,5-Sep-97,6-Jan-03
Janet Napolitano,Arizona,Democratic,6-Jan-03,21-Jan-09
Jan Brewer,Arizona,Republican,21-Jan-09,5-Jan-15
Doug Ducey,Arizona,Republican,5-Jan-15,2-Jan-23
Katie Hobbs,Arizona,Democratic,2-Jan-23,
Mike Huckabee,Arkansas,Republican,15-Jul-96,9-Jan-07
Mike Beebe,Arkansas,Democratic,9-Jan-07,13-Jan-15
Asa Hutchinson,Arkansas,Republican,13-Jan-15,10-Jan-23
Sarah Huckabee Sanders,Arkansas,Republican,10-Jan-23,
Gray Davis,California,Democratic,4-Jan-99,17-Nov-03
Arnold Schwarzenegger,California,Republican,17-Nov-03,3-Jan-11
Edmund G. Brown Jr.,California,Democratic,3-Jan-11,7-Jan-19
Gavin Newsom,California,Democratic,7-Jan-19,
Bill Owens,Colorado,Republican,12-Jan-99,9-Jan-07
Bill Ritter,Colorado,Democratic,9-Jan-07,11-Jan-11
John Hickenlooper,Colorado,Democratic,11-Jan-11,8-Jan-19
Jared Polis,Colorado,Democratic,8-Jan-19,
John G. Rowland,Connecticut,Republican,4-Jan-95,1-Jul-04
M. Jodi Rell,Connecticut,Republican,1-Jul-04,5-Jan-11
Dannel Malloy,Connecticut,Democratic,5-Jan-11,9-Jan-19
Edward Lamont,Connecticut,Democratic,9-Jan-19,
Thomas R. Carper,Delaware,Democratic,19-Jan-93,3-Jan-01
Ruth Ann Minner,Delaware,Democratic,3-Jan-01,20-Jan-09
Jack Markell,Delaware,Democratic,20-Jan-09,17-Jan-17
John Carney,Delaware,Democratic,17-Jan-17,
Jeb Bush,Florida,Republican,5-Jan-99,2-Jan-07
Charlie Crist,Florida,Republican,2-Jan-07,4-Jan-11
Rick Scott,Florida,Republican,4-Jan-11,7-Jan-19
Ronald DeSantis,Florida,Republican,7-Jan-19,
Roy E. Barnes,Georgia,Democratic,11-Jan-99,13-Jan-03
Sonny Perdue,Georgia,Republican,13-Jan-03,10-Jan-11
Nathan Deal,Georgia,Republican,10-Jan-11,14-Jan-19
Brian Kemp,Georgia,Republican,14-Jan-19,
Carl T. C. Gutierrez,Guam,Democratic,2-Jan-95,6-Jan-03
Felix P. Camacho,Guam,Republican,6-Jan-03,3-Jan-11
Eddie Baza Calvo,Guam,Republican,3-Jan-11,7-Jan-19
Lou Leon Guerrero,Guam,Democratic,7-Jan-19,
Benjamin J. Cayetano,Hawaii,Democratic,2-Dec-94,2-Dec-02
Linda Lingle,Hawaii,Republican,2-Dec-02,6-Dec-10
Neil Abercrombie,Hawaii,Democratic,6-Dec-10,1-Dec-14
David Ige,Hawaii,Democratic,1-Dec-14,5-Dec-22
Josh Green,Hawaii,Democratic,5-Dec-22,
Dirk Kempthorne,Idaho,Republican,4-Jan-99,26-May-06
James E. Risch,Idaho,Republican,26-May-06,1-Jan-07
Butch Otter,Idaho,Republican,1-Jan-07,7-Jan-19
Brad Little,Idaho,Republican,7-Jan-19,
George H. Ryan,Illinois,Republican,11-Jan-99,13-Jan-03
Rod R. Blagojevich,Illinois,Democratic,13-Jan-03,29-Jan-09
Pat Quinn,Illinois,Democratic,29-Jan-09,12-Jan-15
Bruce Rauner,Illinois,Republican,12-Jan-15,14-Jan-19
J.B. Pritzker,Illinois,Democratic,14-Jan-19,
Frank O'Bannon,Indiana,Democratic,13-Jan-97,13-Sep-03
Joseph E. Kernan,Indiana,Democratic,13-Sep-03,10-Jan-05
Mitch Daniels,Indiana,Republican,10-Jan-05,14-Jan-13
Mike Pence,Indiana,Republican,14-Jan-13,19-Jan-17
Eric Joseph Holcomb,Indiana,Republican,19-Jan-17,
Thomas J. Vilsack,Iowa,Democratic,15-Jan-99,12-Jan-07
Chet Culver,Iowa,Democratic,12-Jan-07,14-Jan-11
Terry E. Branstad,Iowa,Republican,14-Jan-11,24-May-17
Kimberly Kay Reynolds,Iowa,Republican,24-May-17,
Bill Graves,Kansas,Republican,19-Jan-95,13-Jan-03
Kathleen Sebelius,Kansas,Democratic,13-Jan-03,28-Apr-09
Mark Parkinson,Kansas,Democratic,28-Apr-09,10-Jan-11
Sam Brownback,Kansas,Republican,10-Jan-11,31-Jan-18
Jeff Colyer,Kansas,Republican,31-Jan-18,14-Jan-19
Laura Kelly,Kansas,Democratic,14-Jan-19,
Paul E. Patton,Kentucky,Democratic,12-Dec-95,9-Dec-03
Ernie Fletcher,Kentucky,Republican,9-Dec-03,11-Dec-07
Steven L. Beshear,Kentucky,Democratic,11-Dec-07,8-Dec-15
Matt Bevin,Kentucky,Republican,8-Dec-15,10-Dec-19
Andy Beshear,Kentucky,Democratic,10-Dec-19,
Mike Foster,Louisiana,Republican,8-Jan-96,12-Jan-04
Kathleen Babineaux Blanco,Louisiana,Democratic,12-Jan-04,14-Jan-08
Bobby Jindal,Louisiana,Republican,14-Jan-08,11-Jan-16
John Bel Edwards,Louisiana,Democratic,11-Jan-16,
Angus S. King,Maine,Independent,5-Jan-95,8-Jan-03
John E. Baldacci,Maine,Democratic,8-Jan-03,5-Jan-11
Paul LePage,Maine,Republican,5-Jan-11,2-Jan-19
Janet Mills,Maine,Democratic,2-Jan-19,
Parris N. Glendening,Maryland,Democratic,18-Jan-95,15-Jan-03
Robert L. Ehrlich,Maryland,Republican,15-Jan-03,17-Jan-07
Martin O'Malley,Maryland,Democratic,17-Jan-07,21-Jan-15
Lawrence Joseph Hogan,Maryland,Republican,21-Jan-15,18-Jan-23
Wes Moore,Maryland,Democratic,18-Jan-23,
Argeo Paul Cellucci,Massachusetts,Republican,7-Jan-99,10-Apr-01
Jane Maria Swift,Massachusetts,Republican,10-Apr-01,2-Jan-03
Mitt Romney,Massachusetts,Republican,2-Jan-03,4-Jan-07
Deval Patrick,Massachusetts,Democratic,4-Jan-07,8-Jan-15
Charlie Baker,Massachusetts,Republican,8-Jan-15,5-Jan-23
Maura Healey,Massachusetts,Democratic,5-Jan-23,
John Engler,Michigan,Republican,1-Jan-91,1-Jan-03
Jennifer M. Granholm,Michigan,Democratic,1-Jan-03,1-Jan-11
Rick Snyder,Michigan,Republican,1-Jan-11,1-Jan-19
Gretchen Whitmer,Michigan,Democratic,1-Jan-19,
Jesse Ventura,Minnesota,Minnesota Independence Party,4-Jan-99,6-Jan-03
Tim Pawlenty,Minnesota,Republican,6-Jan-03,3-Jan-11
Mark Dayton,Minnesota,Democratic-Farmer-Labor,3-Jan-11,7-Jan-19
Tim Walz,Minnesota,Democratic,7-Jan-19,
Daniel Kirkwood Fordice,Mississippi,Republican,14-Jan-92,11-Jan-00
David Ronald Ronnie Musgrove,Mississippi,Democratic,11-Jan-00,13-Jan-04
Haley Barbour,Mississippi,Republican,13-Jan-04,10-Jan-12
Phil Bryant,Mississippi,Republican,10-Jan-12,14-Jan-20
Tate Reeves,Mississippi,Republican,14-Jan-20,
Mel Eugene Carnahan,Missouri,Democratic,11-Jan-93,16-Oct-00
Roger B. Wilson,Missouri,Democratic,16-Oct-00,8-Jan-01
Robert L. Holden,Missouri,Democratic,8-Jan-01,10-Jan-05
Matt Blunt,Missouri,Republican,10-Jan-05,12-Jan-09
Jeremiah W. (Jay) Nixon,Missouri,Democratic,12-Jan-09,9-Jan-17
Eric Greitens,Missouri,Republican,9-Jan-17,1-Jun-18
Michael L. Parson,Missouri,Republican,1-Jun-18,
Marc Racicot,Montana,Republican,4-Jan-93,1-Jan-01
Judy Martz,Montana,Republican,1-Jan-01,3-Jan-05
Brian Schweitzer,Montana,Democratic,3-Jan-05,7-Jan-13
Steve Bullock,Montana,Democratic,7-Jan-13,4-Jan-21
Greg Gianforte,Montana,Republican,4-Jan-21,
Mike Johanns,Nebraska,Republican,7-Jan-99,20-Jan-05
Dave Heineman,Nebraska,Republican,20-Jan-05,8-Jan-15
Pete Ricketts,Nebraska,Republican,8-Jan-15,5-Jan-23
Jim Pillen,Nebraska,Republican,5-Jan-23,
Kenny Guinn,Nevada,Republican,4-Jan-99,1-Jan-07
Jim Gibbons,Nevada,Republican,1-Jan-07,3-Jan-11
Brian Sandoval,Nevada,Republican,3-Jan-11,7-Jan-19
Joe Lombardo,Nevada,Democratic,7-Jan-19,2-Jan-23
Joe Lombardo,Nevada,Republican,2-Jan-23,
Jeanne Shaheen,New Hampshire,Democratic,9-Jan-97,9-Jan-03
Craig Benson,New Hampshire,Republican,9-Jan-03,6-Jan-05
John Lynch,New Hampshire,Democratic,6-Jan-05,3-Jan-13
Maggie Hassan,New Hampshire,Democratic,3-Jan-13,3-Jan-17
Chuck Morse,New Hampshire,Republican,3-Jan-17,5-Jan-17
Christopher T. Sununu,New Hampshire,Republican,5-Jan-17,
Christine Todd Whitman,New Jersey,Republican,18-Jan-94,31-Jan-01
Donald T. DiFrancesco,New Jersey,Republican,31-Jan-01,8-Jan-02
John O. Bennett,New Jersey,Republican,8-Jan-02,12-Jan-02
Richard J. Codey,New Jersey,Democratic,12-Jan-02,15-Jan-02
James E. McGreevey,New Jersey,Democratic,15-Jan-02,15-Nov-04
Richard J. Codey,New Jersey,Democratic,15-Nov-04,17-Jan-06
Jon Corzine,New Jersey,Democratic,17-Jan-06,19-Jan-10
Christopher Christie,New Jersey,Republican,19-Jan-10,16-Jan-18
Philip Dunton Murphy,New Jersey,Democratic,16-Jan-18,
Gary E. Johnson,New Mexico,Republican,1-Jan-95,1-Jan-03
Bill Richardson,New Mexico,Democratic,1-Jan-03,1-Jan-11
Susana Martinez,New Mexico,Republican,1-Jan-11,1-Jan-19
Michelle Lujan Grisham,New Mexico,Democratic,1-Jan-19,
George E. Pataki,New York,Republican,1-Jan-95,31-Dec-06
Eliot Spitzer,New York,Democratic,1-Jan-07,17-Mar-08
David A. Paterson,New York,Democratic,17-Mar-08,31-Dec-10
Andrew Cuomo,New York,Democratic,1-Jan-11,23-Aug-21
Kathy Hochul,New York,Democratic,24-Aug-21,
James B. Hunt,North Carolina,Democratic,9-Jan-93,6-Jan-01
Michael F. Easley,North Carolina,Democratic,6-Jan-01,10-Jan-09
Bev Perdue,North Carolina,Democratic,10-Jan-09,5-Jan-13
Pat McCrory,North Carolina,Republican,5-Jan-13,1-Jan-17
