governor_name,state,party,start_year,end_year
Gov. William Wyatt Bibb,Alabama,Democratic-Republican,1819,1820
Gov. Thomas Bibb,Alabama,Democratic-Republican,1820,1821
Gov. Israel Pickens,Alabama,Democratic-Republican,1821,1825
Gov. John Murphy,Alabama,Jackson Democrat,1825,1829
Gov. Gabriel Moore,Alabama,Jackson Democrat,1829,1831
Gov. John Gayle,Alabama,Democratic,1831,1835
Gov. Samuel B. Moore,Alabama,Democratic,1831,1831
Gov. Clement Comer Clay,Alabama,Democratic,1835,1837
Gov. Arthur Pendleton Bagby,Alabama,Democratic,1837,1841
Gov. Hugh McVay,Alabama,Democratic,1837,1837
Gov. Benjamin Fitzpatrick,Alabama,Democratic,1841,1845
Gov. Joshua Lanier Martin,Alabama,Independent,1845,1847
Gov. Reuben Chapman,Alabama,Democratic,1847,1849
Gov. Henry Watkins Collier,Alabama,Democratic,1849,1853
Gov. John Anthony Winston,Alabama,Democratic,1853,1857
Gov. Andrew Barry Moore,Alabama,Democratic,1857,1861
Gov. John Gill Shorter,Alabama,Democratic,1861,1863
Gov. Thomas Hill Watts,Alabama,Whig,1863,1865
Gov. Robert Miller Patton,Alabama,"Whig, Republican",1865,1868
Gov. Lewis Eliphalet Parsons,Alabama,Democratic,1865,1865
Gov. William Hugh Smith,Alabama,Republican,1868,1870
Gov. Robert Burns Lindsay,Alabama,Democratic,1870,1872
Gov. David Peter Lewis,Alabama,Democratic Republican,1872,1874
Gov. George Smith Houston,Alabama,Democratic,1874,1878
Gov. Rufus Willis Cobb,Alabama,Democratic,1878,1882
Gov. Edward Asbury O’Neal,Alabama,Democratic,1882,1886
Gov. Thomas Seay,Alabama,Democratic,1886,1890
Gov. Thomas Goode Jones,Alabama,Democratic,1890,1894
Gov. William Calvin Oates,Alabama,Democratic,1894,1896
Gov. Joseph Forney Johnston,Alabama,Democratic,1896,1900
Gov. William James Samford,Alabama,Democratic,1900,1901
Gov. William Dorsey Jelks,Alabama,Democratic,1901,1904
Gov. Russell McWorther Cunningham,Alabama,Democratic,1904,1905
Gov. William Dorsey Jelks,Alabama,Democratic,1905,1907
Gov. Braxton Bragg Comer,Alabama,Democratic,1907,1911
Gov. Emmet O’Neal,Alabama,Democratic,1911,1915
Gov. Charles Henderson,Alabama,Democratic,1915,1919
Gov. Thomas Erby Kilby,Alabama,Democratic,1919,1923
Gov. William Woodward Brandon,Alabama,Democratic,1923,1927
Gov. David Bibb Graves,Alabama,Democratic,1927,1931
Gov. Benjamin Meek Miller,Alabama,Democratic,1931,1935
Gov. David Bibb Graves,Alabama,Democratic,1935,1939
Gov. Frank Murray Dixon,Alabama,Democratic,1939,1943
Gov. Chauncey Sparks,Alabama,Democratic,1943,1947
"Gov. James Elisha Folsom, Sr.",Alabama,Democratic,1947,1951
Gov. Seth Gordon Persons,Alabama,Democratic,1951,1955
"Gov. James Elisha Folsom, Sr.",Alabama,Democratic,1955,1959
Gov. John Malcolm Patterson,Alabama,Democratic,1959,1963
Gov. George Corley Wallace,Alabama,Democratic,1963,1967
Gov. Lurleen Burns Wallace,Alabama,Democratic,1967,1968
Gov. Albert Preston Brewer,Alabama,Democratic,1968,1971
Gov. George Corley Wallace,Alabama,Democratic,1971,1979
Gov. Forrest Hood James,Alabama,"Democratic, Republican",1979,1983
Gov. George Corley Wallace,Alabama,Democratic,1983,1987
Gov. Harold Guy Hunt,Alabama,Republican,1987,1993
"Gov. James Elisha Folsom, Jr.",Alabama,Democratic,1993,1995
Gov. Forrest Hood James,Alabama,"Democratic, Republican",1995,1999
Gov. Donald Eugene Siegelman,Alabama,Democratic,1999,2003
Gov. Bob Riley,Alabama,Republican,2003,2011
Gov. Robert Bentley,Alabama,Republican,2011,2017
Gov. William Allen Egan,Alaska,Democratic,1959,1966
Gov. Walter J. Hickel,Alaska,Alaska Independence Party,1966,1969
Gov. Keith H. Miller,Alaska,Republican,1969,1970
Gov. William Allen Egan,Alaska,Democratic,1970,1974
Gov. Jay S. Hammond,Alaska,Republican,1974,1982
Gov. William Jennings Sheffield,Alaska,Democratic,1982,1986
Gov. Steve Cowper,Alaska,Democratic,1986,1990
Gov. Walter J. Hickel,Alaska,Alaska Independence Party,1990,1994
Gov. Tony Knowles,Alaska,Democratic,1994,2002
Gov. Frank H. Murkowski,Alaska,Republican,2002,2006
Gov. Sarah Palin,Alaska,Republican,2006,2009
Gov. Sean Parnell,Alaska,Republican,2009,2014
Gov. Bill Walker,Alaska,Independent,2014,2018
Gov. Peter Tali Coleman,American Samoa,Republican,1956,1961
Gov. Hyrum Rex Lee,American Samoa,Federally-Appointed Civilian,1961,1967
Gov. Frank Elliott Barnett,American Samoa,Republican,1976,1977
Gov. Hyrum Rex Lee,American Samoa,Federally-Appointed Civilian,1977,1978
Gov. Peter Tali Coleman,American Samoa,Republican,1978,1985
Gov. A.P. Lutali,American Samoa,Democratic,1985,1989
Gov. Peter Tali Coleman,American Samoa,Republican,1989,1993
Gov. A.P. Lutali,American Samoa,Democratic,1993,1997
Gov. Tauese P. F. Sunia,American Samoa,Democratic,1997,2003
